1;Multi-player
27;Cross-Platform Multiplayer
22;Steam Achievements
29;Steam Trading Cards
13;Captions available
30;Steam Workshop
35;In-App Purchases
18;Partial Controller Support
8;Valve Anti-Cheat enabled
15;Stats
17;Includes level editor
14;Commentary available
2;Single-player
28;Full controller support
23;Steam Cloud
24;Shared/Split Screen
43;Remote Play on TV
44;Remote Play Together
9;Co-op
39;Local Co-op
21;Downloadable Content
36;Online Multi-Player
32;Steam Turn Notifications
37;Local Multi-Player
25;Steam Leaderboards
38;Online Co-op
10;Game demo
20;MMO
49;PvP
47;LAN PvP
48;LAN Co-op
41;Remote Play on Phone
42;Remote Play on Tablet
31;VR Support
50;Additional High-Quality Audio
33;Native Steam Controller Support
